pokemon,acquire_as,acquisition_kind,acquisition_index,acquisition_method,acquisition_location,encounter_index,encounter_location,encounter_method,weather,rarity_percent,level_min,level_max,pokemon_declared_badge,acquisition_declared_badge,declared_badge_used,computed_minimum_badge,gate_reasons,review_flags,validation_result
Unfezant,Pidove,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Flying,Overcast,25,7,10,0,,0,0,,,OK
Thievul,Nickit,primary,0,wild_encounter,Route 1,1,Route 1,Overworld,All Weather,5,3,6,0,,0,0,,,OK
Thievul,Nickit,primary,0,wild_encounter,Route 1,2,Route 2,Overworld,All Weather,15,5,7,0,,0,0,,,OK
Obstagoon,Galarian Zigzagoon,primary,0,wild_encounter,Route 2,1,Route 2,Overworld,All Weather,2,5,7,0,,0,0,,,OK
Obstagoon,Galarian Zigzagoon,primary,0,wild_encounter,Route 2,2,Route 3,Overworld,All Weather,38,10,14,0,,0,0,,,OK
Dubwool,Wooloo,primary,0,wild_encounter,Route 1,1,Route 1,Overworld,All Weather,15,3,6,0,,0,0,,,OK
Dubwool,Wooloo,primary,0,wild_encounter,Route 1,2,Route 4,Random,All Weather,25,13,15,0,,0,0,,,OK
Shiftry,Seedot,primary,0,wild_encounter,Route 2,1,Route 2,Random,All Weather,20,4,6,0,,0,0,,,OK
Shiftry,Seedot,primary,0,wild_encounter,Route 2,2,Dappled Grove,Random,Normal Weather,40,11,15,0,,0,0,,,OK
Drednaw,Chewtle,primary,0,wild_encounter,Route 2,1,Route 2,Fishing,All Weather,15,4,6,0,,0,0,,,OK
Drednaw,Chewtle,primary,0,wild_encounter,Route 2,2,Route 2,Overworld,All Weather,10,5,7,0,,0,0,,,OK
Liepard,Purrloin,primary,0,wild_encounter,Route 2,1,Route 2,Random,All Weather,10,4,6,0,,0,0,,,OK
Liepard,Purrloin,primary,0,wild_encounter,Route 2,2,East Lake Axewell,Random,Fog,45,8,12,0,,0,8,Fog unlocks after 8 badge(s),,TOO_PERMISSIVE
Boltund,Yamper,primary,0,wild_encounter,Route 2,1,Route 2,Overworld,All Weather,5,5,7,0,,0,0,,,OK
Boltund,Yamper,primary,0,wild_encounter,Route 2,2,Route 2,Wandering,All Weather,,8,8,0,,0,0,,,OK
Diggersby,Bunnelby,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Normal Weather,40,7,9,0,,0,0,,,OK
Diggersby,Bunnelby,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Overworld,Normal Weather,25,7,10,0,,0,0,,,OK
Cinccino,Minccino,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Normal Weather,35,7,9,0,,0,0,,,OK
Cinccino,Minccino,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Random,Snowing,5,7,9,0,,0,0,,,OK
Tsareena,Bounsweet,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Normal Weather,20,7,9,0,,0,0,,,OK
Tsareena,Bounsweet,primary,0,wild_encounter,Rolling Fields,2,East Lake Axewell,Overworld,Normal Weather,15,10,15,0,,0,0,,,OK
Vileplume,Oddish,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Overcast,40,7,9,0,,0,0,,,OK
Vileplume,Oddish,primary,0,wild_encounter,Rolling Fields,2,East Lake Axewell,Random,Normal Weather,45,8,12,0,,0,0,,,OK
Bellossom,Oddish,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Overcast,40,7,9,0,,0,0,,,OK
Bellossom,Oddish,primary,0,wild_encounter,Rolling Fields,2,East Lake Axewell,Random,Normal Weather,45,8,12,0,,0,0,,,OK
Roserade,Budew,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Overcast,35,7,9,0,,0,0,,,OK
Roserade,Budew,primary,0,wild_encounter,Rolling Fields,2,East Lake Axewell,Random,Overcast,45,8,12,0,,0,0,,,OK
Pelipper,Wingull,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields - Area 2,Overworld,Raining,25,7,10,0,,0,0,,,OK
Pelipper,Wingull,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Overworld,Raining,60,7,10,0,,0,0,,,OK
Galvantula,Joltik,primary,0,wild_encounter,East Lake Axewell,1,East Lake Axewell,Random,Thunderstorm,45,8,12,0,,0,0,,,OK
Galvantula,Joltik,primary,0,wild_encounter,East Lake Axewell,2,Dappled Grove,Random,Thunderstorm,40,11,15,0,,0,0,,,OK
Manectric,Electrike,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Thunderstorm,35,7,9,0,,0,0,,,OK
Manectric,Electrike,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields - Area 2,Overworld,Thunderstorm,25,7,10,0,,0,0,,,OK
Ninetales,Vulpix,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Intense Sun,20,7,9,0,,0,0,,,OK
Ninetales,Vulpix,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields - Area 2,Overworld,Intense Sun,25,7,10,0,,0,0,,,OK
Arcanine,Growlithe,primary,0,wild_encounter,Hammerlocke Hills,1,Hammerlocke Hills,Random,Intense Sun,40,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Arcanine,Growlithe,primary,0,wild_encounter,Hammerlocke Hills,2,Dusty Bowl,Overworld,Intense Sun,30,42,47,2,,2,5,Lv. 42 minimum requires 5 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Vanilluxe,Vanillite,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Snowing,40,7,9,0,,0,0,,,OK
Vanilluxe,Vanillite,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields - Area 2,Overworld,Snowing,25,7,10,0,,0,0,,,OK
Mamoswine,Swinub,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Snowing,35,7,9,0,,0,0,,,OK
Mamoswine,Swinub,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Random,Snowstorm,40,7,9,0,,0,3,Snowstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Delibird,Delibird,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Snowstorm,35,7,9,3,,3,3,Snowstorm unlocks after 3 badge(s),,OK
Delibird,Delibird,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Overworld,Snowstorm,60,7,10,3,,3,3,Snowstorm unlocks after 3 badge(s),,OK
Glalie,Snorunt,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Snowstorm,20,7,9,0,,0,3,Snowstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Glalie,Snorunt,primary,0,wild_encounter,Rolling Fields,2,West Lake Axewell,Random,Snowing,30,7,11,0,,0,0,,,OK
Froslass,Snorunt,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Snowstorm,20,7,9,0,,0,3,Snowstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Froslass,Snorunt,primary,0,wild_encounter,Rolling Fields,2,West Lake Axewell,Random,Snowing,30,7,11,0,,0,0,,,OK
Claydol,Baltoy,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Intense Sun,40,7,9,0,,0,0,,,OK
Claydol,Baltoy,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Random,Sandstorm,35,7,9,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Mudsdale,Mudbray,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Intense Sun,35,7,9,0,,0,0,,,OK
Mudsdale,Mudbray,primary,0,wild_encounter,Rolling Fields,2,West Lake Axewell,Random,Sandstorm,10,7,11,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Crustle,Dwebble,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Overworld,Intense Sun,40,8,14,0,,0,0,,,OK
Golurk,Golett,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Random,Sandstorm,20,7,9,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Golurk,Golett,primary,0,wild_encounter,Rolling Fields,2,Watchtower Ruins,Random,Normal Weather,40,11,14,0,,0,0,,,OK
Musharna,Munna,primary,0,wild_encounter,Giant's Cap,1,Giant's Cap,Random,Overcast,20,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Xatu,Natu,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Overworld,Raining,10,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Xatu,Natu,primary,0,wild_encounter,Giant's Mirror,2,Giant's Mirror,Overworld,Snowing,10,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Bewear,Stufful,primary,0,wild_encounter,East Lake Axewell,1,East Lake Axewell,Overworld,Normal Weather,50,10,15,0,,0,0,,,OK
Bewear,Stufful,primary,0,wild_encounter,East Lake Axewell,2,Dappled Grove,Random,Overcast,40,11,15,0,,0,0,,,OK
Abomasnow,Snover,primary,0,wild_encounter,East Lake Axewell,1,East Lake Axewell,Overworld,Snowing,60,10,15,0,,0,0,,,OK
Abomasnow,Snover,primary,0,wild_encounter,East Lake Axewell,2,East Lake Axewell,Random,Snowing,30,8,12,0,,0,0,,,OK
Kingler,Krabby,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Overworld,Normal Weather,10,8,14,0,,0,0,,,OK
Kingler,Krabby,primary,0,wild_encounter,West Lake Axewell,2,South Lake Miloch,Overworld,Normal Weather,30,14,16,0,,0,0,,,OK
Quagsire,Wooper,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Overworld,Normal Weather,25,8,14,0,,0,0,,,OK
Quagsire,Wooper,primary,0,wild_encounter,West Lake Axewell,2,South Lake Miloch,Random,Sandstorm,30,11,13,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Crawdaunt,Corphish,primary,0,wild_encounter,South Lake Miloch,1,South Lake Miloch,Overworld,Normal Weather,30,14,16,0,,0,0,,,OK
Crawdaunt,Corphish,primary,0,wild_encounter,South Lake Miloch,2,South Lake Miloch,Overworld,Overcast,10,14,16,0,,0,0,,,OK
Ninjask,Nincada,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Random,Sandstorm,30,7,11,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Ninjask,Nincada,primary,0,wild_encounter,West Lake Axewell,2,South Lake Miloch,Random,Intense Sun,10,11,13,0,,0,0,,,OK
Shedinja,Nincada,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Random,Sandstorm,30,7,11,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Shedinja,Nincada,primary,0,wild_encounter,West Lake Axewell,2,South Lake Miloch,Random,Intense Sun,10,11,13,0,,0,0,,,OK
Hitmonlee,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Normal Weather,5,7,10,0,,0,0,,,OK
Hitmonlee,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Overcast,28,7,10,0,,0,0,,,OK
Hitmonchan,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Normal Weather,5,7,10,0,,0,0,,,OK
Hitmonchan,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Overcast,28,7,10,0,,0,0,,,OK
Hitmontop,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Normal Weather,5,7,10,0,,0,0,,,OK
Hitmontop,Tyrogue,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Overcast,28,7,10,0,,0,0,,,OK
Pangoro,Pancham,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Normal Weather,60,7,10,0,,0,0,,,OK
Pangoro,Pancham,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Overcast,60,7,10,0,,0,0,,,OK
Klinklang,Klink,primary,0,wild_encounter,Route 3,1,Route 3,Random,All Weather,9,8,13,0,,0,0,,,OK
Klinklang,Klink,primary,0,wild_encounter,Route 3,2,West Lake Axewell,Random,Snowstorm,40,7,11,0,,0,3,Snowstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Vespiquen,Combee,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Normal Weather,25,7,10,0,,0,0,,,OK
Vespiquen,Combee,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields,Overworld,Normal Weather,60,7,10,0,,0,0,,,OK
Bronzong,Bronzor,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Overworld,Raining,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Bronzong,Bronzor,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Overworld,Thunderstorm,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Gardevoir,Ralts,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Overcast,2,7,10,0,,0,0,,,OK
Gardevoir,Ralts,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Fog,25,7,10,0,,0,8,Fog unlocks after 8 badge(s),,TOO_PERMISSIVE
Gallade,Ralts,primary,0,wild_encounter,Rolling Fields - Area 2,1,Rolling Fields - Area 2,Overworld,Overcast,2,7,10,0,,0,0,,,OK
Gallade,Ralts,primary,0,wild_encounter,Rolling Fields - Area 2,2,Rolling Fields - Area 2,Overworld,Fog,25,7,10,0,,0,8,Fog unlocks after 8 badge(s),,TOO_PERMISSIVE
Drifblim,Drifloon,primary,0,wild_encounter,Route 5,1,Route 5,Overworld,All Weather,5,19,21,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Drifblim,Drifloon,primary,0,wild_encounter,Route 5,2,North Lake Miloch,Overworld,Fog,60,26,28,1,,1,8,Fog unlocks after 8 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Eldegoss,Gossifleur,primary,0,wild_encounter,Route 3,1,Route 3,Overworld,All Weather,30,10,14,0,,0,0,,,OK
Eldegoss,Gossifleur,primary,0,wild_encounter,Route 3,2,Motostoke Riverbank,Overworld,Normal Weather,25,26,28,0,,0,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Cherrim,Cherubi,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Berry Tree,All Weather,20,7,10,0,,0,0,,,OK
Cherrim,Cherubi,primary,0,wild_encounter,Rolling Fields,2,Route 3,Berry Tree,All Weather,20,8,13,0,,0,0,,,OK
Skuntank,Stunky,primary,0,wild_encounter,Route 3,1,Route 3,Overworld,All Weather,10,10,14,0,,0,0,,,OK
Skuntank,Stunky,primary,0,wild_encounter,Route 3,2,Dappled Grove,Random,Overcast,35,11,15,0,,0,0,,,OK
Seismitoad,Tympole,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Overworld,Normal Weather,60,8,14,0,,0,0,,,OK
Seismitoad,Tympole,primary,0,wild_encounter,West Lake Axewell,2,West Lake Axewell,Overworld,Overcast,25,8,14,0,,0,0,,,OK
Dusknoir,Duskull,primary,0,wild_encounter,Watchtower Ruins,1,Watchtower Ruins,Random,Intense Sun,30,11,14,0,,0,0,,,OK
Dusknoir,Duskull,primary,0,wild_encounter,Watchtower Ruins,2,Watchtower Ruins,Random,Snowing,30,11,14,0,,0,0,,,OK
Machamp,Machop,primary,0,wild_encounter,Route 3,1,Route 3,Random,All Weather,20,8,13,0,,0,0,,,OK
Machamp,Machop,primary,0,wild_encounter,Route 3,2,South Lake Miloch,Random,Normal Weather,40,11,13,0,,0,0,,,OK
Gengar,Gastly,primary,0,wild_encounter,Watchtower Ruins,1,Watchtower Ruins,Random,Overcast,10,11,14,0,,0,0,,,OK
Gengar,Gastly,primary,0,wild_encounter,Watchtower Ruins,2,North Lake Miloch,Random,Overcast,10,14,16,0,,0,0,,,OK
Gyarados,Magikarp,primary,0,wild_encounter,Route 2,1,Route 2,Fishing,All Weather,80,4,6,0,,0,0,,,OK
Gyarados,Magikarp,primary,0,wild_encounter,Route 2,2,Motostoke,Fishing,All Weather,50,7,11,0,,0,0,,,OK
Seaking,Goldeen,primary,0,wild_encounter,Route 4,1,Route 4,Fishing,All Weather,10,13,15,0,,0,0,,,OK
Seaking,Goldeen,primary,0,wild_encounter,Route 4,2,Route 5,Fishing,All Weather,10,16,18,0,,0,1,Route 5 is accessible after 1 badge(s),,TOO_PERMISSIVE
Octillery,Remoraid,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Fishing,All Weather,10,7,11,0,,0,0,,,OK
Octillery,Remoraid,primary,0,wild_encounter,West Lake Axewell,2,South Lake Miloch,Fishing,All Weather,40,11,13,0,,0,0,,,OK
Cloyster,Shellder,primary,0,wild_encounter,East Lake Axewell,1,East Lake Axewell,Fishing,All Weather,20,8,12,0,,0,0,,,OK
Cloyster,Shellder,primary,0,wild_encounter,East Lake Axewell,2,East Lake Axewell,Surf,Snowstorm,5,40,43,0,,0,4,Snowstorm unlocks after 3 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Milotic,Feebas,primary,0,wild_encounter,Route 2 - Lakeside,1,Route 2 - Lakeside,Fishing,All Weather,1,37,40,6,,6,6,Route 2 - Lakeside is accessible after 6 badge(s) | Lv. 37 minimum requires 4 badge(s) under the wild catch cap,,OK
Basculin,Basculin,primary,0,wild_encounter,Hulbury,1,Hulbury,Fishing,All Weather,10,20,24,1,,1,1,Hulbury is accessible after 1 badge(s),,OK
Basculin,Basculin,primary,0,wild_encounter,Hulbury,2,Motostoke Riverbank,Surf,Snowstorm,10,40,43,1,,1,4,Snowstorm unlocks after 3 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Wishiwashi,Wishiwashi,primary,0,wild_encounter,West Lake Axewell,1,West Lake Axewell,Fishing,All Weather,5,7,11,0,,0,0,,,OK
Wishiwashi,Wishiwashi,primary,0,wild_encounter,West Lake Axewell,2,East Lake Axewell,Fishing,All Weather,5,8,12,0,,0,0,,,OK
Pyukumuku,Pyukumuku,primary,0,wild_encounter,South Lake Miloch,1,South Lake Miloch,Fishing,All Weather,1,11,13,0,,0,0,,,OK
Pyukumuku,Pyukumuku,primary,0,wild_encounter,South Lake Miloch,2,South Lake Miloch,Overworld,Thunderstorm,2,14,16,0,,0,0,,,OK
Garbodor,Trubbish,primary,0,wild_encounter,Route 3,1,Route 3,Underground,All Weather,1,10,13,0,,0,0,,,OK
Garbodor,Trubbish,primary,0,wild_encounter,Route 3,2,Route 3,Overworld,All Weather,5,10,14,0,,0,0,,,OK
Centiskorch,Sizzlipede,primary,0,wild_encounter,Route 3,1,Route 3,Random,All Weather,1,8,13,0,,0,0,,,OK
Centiskorch,Sizzlipede,primary,0,wild_encounter,Route 3,2,Motostoke - Gym,Wandering,All Weather,,25,25,0,,0,2,Motostoke - Gym is accessible after 2 badge(s) | Lv. 25 minimum requires 1 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Coalossal,Rolycoly,primary,0,wild_encounter,Route 3,1,Route 3,Underground,All Weather,99,10,13,0,,0,0,,,OK
Coalossal,Rolycoly,primary,0,wild_encounter,Route 3,2,Galar Mine,Overworld,All Weather,35,11,14,0,,0,0,,,OK
Dugtrio,Diglett,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Underground,Normal Weather,80,8,10,0,,0,0,,,OK
Dugtrio,Diglett,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Underground,Overcast,20,8,10,0,,0,0,,,OK
Excadrill,Drilbur,primary,0,wild_encounter,Galar Mine,1,Galar Mine,Overworld,All Weather,10,11,14,0,,0,0,,,OK
Excadrill,Drilbur,primary,0,wild_encounter,Galar Mine,2,Galar Mine,Random,All Weather,10,11,15,0,,0,0,,,OK
Gigalith,Roggenrola,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Underground,Normal Weather,20,8,10,0,,0,0,,,OK
Gigalith,Roggenrola,primary,0,wild_encounter,Rolling Fields,2,Rolling Fields,Underground,Overcast,80,8,10,0,,0,0,,,OK
Conkeldurr,Timburr,primary,0,wild_encounter,Galar Mine,1,Galar Mine,Overworld,All Weather,25,11,14,0,,0,0,,,OK
Conkeldurr,Timburr,primary,0,wild_encounter,Galar Mine,2,Galar Mine,Random,All Weather,30,11,15,0,,0,0,,,OK
Swoobat,Woobat,primary,0,wild_encounter,Galar Mine,1,Galar Mine,Overworld,All Weather,15,11,14,0,,0,0,,,OK
Swoobat,Woobat,primary,0,wild_encounter,Galar Mine,2,Galar Mine,Random,All Weather,10,11,15,0,,0,0,,,OK
Noivern,Noibat,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Overworld,All Weather,10,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Noivern,Noibat,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Random,All Weather,20,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Steelix,Onix,primary,0,wild_encounter,East Lake Axewell,1,East Lake Axewell,Random,Intense Sun,10,8,12,0,,0,0,,,OK
Steelix,Onix,primary,0,wild_encounter,East Lake Axewell,2,East Lake Axewell,Random,Sandstorm,10,8,12,0,,0,3,Sandstorm unlocks after 3 badge(s),,TOO_PERMISSIVE
Barraskewda,Arrokuda,primary,0,wild_encounter,Route 2,1,Route 2,Fishing,All Weather,5,4,6,0,,0,0,,,OK
Barraskewda,Arrokuda,primary,0,wild_encounter,Route 2,2,Hulbury,Fishing,All Weather,50,20,24,0,,0,1,Hulbury is accessible after 1 badge(s),,TOO_PERMISSIVE
Perrserker,Galarian Meowth,primary,0,wild_encounter,Route 4,1,Route 4,Random,All Weather,35,13,15,0,,0,0,,,OK
Perrserker,Galarian Meowth,primary,0,wild_encounter,Route 4,2,Route 4,Overworld,All Weather,23,14,16,0,,0,0,,,OK
Persian,Kantonian Meowth,primary,0,in_game_trade,Turffield — in-game trade,1,Turffield,In-game trade,Not applicable,100,,,0,,0,0,Verified special acquisition is available before the first badge,,OK
Alcremie,Milcery,primary,0,wild_encounter,Route 4,1,Route 4,Random,All Weather,20,13,15,0,,0,0,,,OK
Alcremie,Milcery,primary,0,wild_encounter,Route 4,2,Bridge Field,Random,Fog,30,26,28,0,,0,8,Fog unlocks after 8 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Ribombee,Cutiefly,primary,0,wild_encounter,Route 4,1,Route 4,Random,All Weather,5,13,15,0,,0,0,,,OK
Ribombee,Cutiefly,primary,0,wild_encounter,Route 4,2,Motostoke Riverbank,Overworld,Overcast,25,26,28,0,,0,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Ferrothorn,Ferroseed,primary,0,wild_encounter,Route 4,1,Route 4,Random,All Weather,1,13,15,0,,0,0,,,OK
Ferrothorn,Ferroseed,primary,0,wild_encounter,Route 4,2,Bridge Field,Random,Normal Weather,5,26,28,0,,0,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Gourgeist,Pumpkaboo,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,10,14,16,0,,0,0,,,OK
Gourgeist,Pumpkaboo,primary,0,wild_encounter,Route 4,2,Route 4,Overworld,All Weather,5,14,16,0,,0,0,,,OK
Raichu,Pikachu,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,5,14,16,0,,0,0,,,OK
Raichu,Pikachu,primary,0,wild_encounter,Route 4,2,Rolling Fields,Wandering,Thunderstorm,,15,15,0,,0,0,,,OK
Vaporeon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Jolteon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Flareon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Espeon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Umbreon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Leafeon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Glaceon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Sylveon,Eevee,primary,0,wild_encounter,Route 4,1,Route 4,Overworld,All Weather,1,14,16,0,,0,0,,,OK
Flapple,Applin,primary,0,wild_encounter,Route 5,1,Route 5,Random,All Weather,10,16,18,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Flapple,Applin,primary,0,wild_encounter,Route 5,2,Giant's Mirror,Random,Thunderstorm,30,26,28,1,,1,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Meowstic,Espurr,primary,0,wild_encounter,Route 5,1,Route 5,Random,All Weather,20,16,18,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
