pokemon,acquire_as,declared_required_badge,computed_record_minimum_badge,computed_primary_minimum_badge,validation_result,review_flags,acquisition_count,candidate_count
Shiinotic,Shiinotic,4,4,4,OK,,1,1
Passimian,Passimian,4,4,4,OK,,1,1
Morpeko,Morpeko,5,5,5,OK,,1,2
Falinks,Falinks,5,5,5,OK,,1,2
Turtonator,Turtonator,6,6,6,OK,,1,1
Togedemaru,Togedemaru,5,5,5,OK,,1,2
Frosmoth,Snom,5,5,5,OK,,1,2
Grapploct,Clobbopus,6,6,6,OK,,1,2
Pincurchin,Pincurchin,6,6,6,OK,,1,2
Mantine,Mantyke,6,6,6,OK,,1,2
Wailord,Wailmer,6,6,6,OK,,1,2
Avalugg,Bergmite,6,6,6,OK,,1,2
Dhelmise,Dhelmise,6,6,6,OK,,3,12
Lapras,Lapras,6,6,6,OK,,1,2
Solrock,Solrock,5,5,5,OK,,1,2
Mr. Rime,Galarian Mr. Mime,8,8,8,OK,,1,2
Darmanitan,Galarian Darumaka,5,5,5,OK,,1,2
Stonjourner,Stonjourner,6,6,6,OK,,1,2
Duraludon,Duraludon,6,6,6,OK,,1,2
Rotom,Rotom,7,7,7,OK,,1,2
Ditto,Ditto,6,6,6,OK,,1,2
Dracozolt,Dracozolt,3,3,3,OK,,1,1
Arctozolt,Arctozolt,3,3,3,OK,,1,1
Dracovish,Dracovish,3,3,3,OK,,1,1
Arctovish,Arctovish,3,3,3,OK,,1,1
Charizard,Charmander,8,8,8,OK,,1,1
Silvally,Type: Null,8,8,8,OK,,1,1
Hydreigon,Deino,6,6,6,OK,,1,1
Kommo-o,Jangmo-o,6,6,6,OK,,1,2
Dragapult,Dreepy,1,1,1,OK,,2,3
Zacian,Zacian,8,8,8,OK,,1,1
Eternatus,Eternatus,8,8,8,OK,,1,1
